"","Material","Freq","Model","elpd_diff","se_diff"
"1","Forams",232,"BLM3",0,0
"2","Forams",232,"BLM1_NE",-6577.78254272341,31.0829785382765
"3","Forams",232,"BLM1_E",-147163.460917932,875.62314920519
"4","Synthetic",269,"BLM1_E",0,0
"5","Synthetic",269,"BLM3",-847.725377501166,11.999252243938
"6","Synthetic",269,"BLM1_NE",-4125.39651096366,115.996351730549
"7","Full",1503,"BLM3",0,0
"8","Full",1503,"BLM1_NE",-41.9244595205405,2.71584968201581
"9","Full",1503,"BLM1_E",-18288.4953097954,247.125316125398
