"","targetMaterialColumn","dataset","R2 type","model","mean","lwr","upr"
"1","Lake","Lake","Conditional","BLM3_fit",0.99225038955215,0.988810464018483,0.99435172893775
"2","Lake","Lake","Marginal","BLM3_fit",0.0338881384781761,0.0310556719704918,0.0369297492437462
"3","Lake","Lake","BLM1_fit",NA,0.855082356872457,0.842550972936791,0.865027516125593
"4","Lake","Lake","BLM1_fit_NoErrors",NA,0.857505631769363,0.849315544834898,0.864742271488155
"5","Lake","3","BLM1_fit",NA,0.94308471791355,0.9391074084627,0.945772231468156
"6","Lake","3","BLM1_fit_NoErrors",NA,0.943274385046524,0.940866624346363,0.945396227452204
"7","Lake","1","BLM1_fit",NA,0.532269903438564,0.0114119968120605,0.740696612557454
"8","Lake","1","BLM1_fit_NoErrors",NA,0.624648074571217,0.374274700509412,0.734719196682619
"9","Lake","2","BLM1_fit",NA,0.379068096067368,0.0104620115007391,0.650321068246373
"10","Lake","2","BLM1_fit_NoErrors",NA,0.484889614812322,0.282081191722681,0.614718634833519
