"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","CDESorICDES","Full","BLM1_fit",NA,0.0392175478427029,0.000282664655291703,0.154788042638445,0.00316871169226706
"2","CDESorICDES","Full","BLM1_fit_NoErrors",NA,0.0394002652526281,0.000281536018243386,0.152293855151716,0.00313720009578878
"3","CDESorICDES","Full","BLM3","1",0.0395924740870456,0.000349004740241325,0.152882070741458,0.00366576167645337
"4","CDESorICDES","Full","BLM3","2",0.0388599515188186,0.000488799685421746,0.157903262294764,0.00561013508553164
"5","CDESorICDES","Full","Deming",NA,0.0419945872210613,0.00226758119127236,0.126202912361601,0.021545878386187
"6","CDESorICDES","Full","LM",NA,0.0393675644017334,0.000357542039021154,0.152660376295627,0.00405921987631543
"7","CDESorICDES","Full","Weighted",NA,0.0392853827003971,0.000315983631130236,0.153594403932208,0.00357141118542624
"8","CDESorICDES","Full","York",NA,0.0390901862391504,0.000476140271258105,0.157326248925644,0.00539885819057245
"9","CDESorICDES","subsets","BLM1_fit","1",0.0396166191305348,0.000445043415384317,0.152205050468455,0.00473071794200204
"10","CDESorICDES","subsets","BLM1_fit","2",0.0388639464082465,0.000414685301031793,0.157843275656784,0.00479051965162143
"11","CDESorICDES","subsets","BLM1_fit_NoErrors","1",0.0396850742621778,0.000445108937342975,0.150375746047186,0.00473560562827329
"12","CDESorICDES","subsets","BLM1_fit_NoErrors","2",0.039086958747112,0.000418659609641912,0.155297734750245,0.00481561238169993
"13","CDESorICDES","subsets","BLM3","1",0.0395942237353117,0.000452479680456632,0.152436244429881,0.00477324854896095
"14","CDESorICDES","subsets","BLM3","2",0.0388972361822982,0.000420647763224878,0.157460784851902,0.00483222135984045
"15","CDESorICDES","subsets","Deming","1",0.039468478335513,0.000245144871052204,0.150721566894715,0.0104810867673432
"16","CDESorICDES","subsets","Deming","2",0.0449109001410543,0.00330526788359526,0.0902831560986442,0.0388226286080648
"17","CDESorICDES","subsets","LM","1",0.0397128815105903,0.000130402876465144,0.150615711639019,0.0016182745720145
"18","CDESorICDES","subsets","LM","2",0.0393146862772801,0.000171571641119002,0.153100307452307,0.0024354258589207
"19","CDESorICDES","subsets","Weighted","1",0.0390952807290048,0.000537970085259774,0.156842832898282,0.00737547859400817
"20","CDESorICDES","subsets","Weighted","2",0.0389799486900002,0.000786787515255564,0.156105378917838,0.00872922374838315
"21","CDESorICDES","subsets","York","1",0.0388459790894718,0.000317635828348392,0.162165036434425,0.000380552374911265
"22","CDESorICDES","subsets","York","2",0.0389873652663257,0.000258971609490269,0.157007914797663,0.00293389222048997
