"","targetColumns","original","number","Freq"
"1","Lab","Caltech","1",118
"2","Lab","Cambridge","2",25
"3","Lab","ETH","3",67
"4","Lab","GeoSurveyCanada","4",12
"5","Lab","Goethe","5",25
"6","Lab","ImperialCollegeLondon","6",58
"7","Lab","IPGP","7",11
"8","Lab","IPSL","8",27
"9","Lab","JohnsHopkins","9",55
"10","Lab","MIT","10",41
"11","Lab","StonyBrook","11",13
"12","Lab","Tulane","12",25
"13","Lab","UCLATripati","13",268
"14","Lab","UMichigan","14",17
"15","Lab","UnivBergen","15",56
"16","Lab","Utrecht","16",11
"17","Lab","UW","17",56
